acts,address,datefrom,dateto,day,district,filename,link,pahar,psdate,pstation,pstime,section,timefrom,timeto,full_charge,group_charge
1 IPC 1860,mmﬁgﬁéﬁwﬁﬁﬁzaﬁﬁﬁﬂ,,,,NEW DELHI,8165038170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170027,,2017-04-07,NORTH AVENUE,19:30,279/337,,,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,"BASEMENT PARKING, :Iﬁ'dr earn-ﬁre, N.D",2017-04-08,2017-04-09,INTERVENING DAY,NEW DELHI,8165038170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170028,,2017-04-09,NORTH AVENUE,20:00,379,09:00,09:00,Theft,Theft
1 IPC 1860,"Distance from P.S (am i} gﬁ sh? Eran): SOUTH-EAST, 1.5 KM(5) Beat No(EﬁE arr.) : 816503608",,,,NEW DELHI,8165036170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170018,,,TUGHLAK ROAD,,279,12/03/2017,12/03/2017,Rash driving,Rash driving
1 IPC 1860,"BEHIND OF KOTHI No.3, SAFDARJUNG LANE, NEW DELHI",2017-04-17,2017-04-17,Monday,NEW DELHI,8165036170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170024,5,2017-04-17,TUGHLAK ROAD,15:38,354,14:25,14:25,sexual harrasement,sexual harrasement
1 IPC 1860,"Wﬁm, LINK ROAD, NEAR JHANDEWALAN, METRO STATION, NEW DELHI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165015170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170002,5,2017-01-05,MANDIR MARG,18:00,279,15:00,15:00,Rash driving,Rash driving
1 IPC 1860,"430, SEC-4 TFrIT Elm, Tthr mﬁn-a, :rsf ﬁwﬁ",2017-01-09,2017-01-09,Monday,NEW DELHI,8165015170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170004,6,2017-01-10,MANDIR MARG,09:00,363,16:30,16:30,Kidnapping,Kidnapping
1 IPC 1860,".. \wx‘ ”xv... 1""

Distance from P.S (911?” I} :51 3h? ER“): Beat N0(Eﬁ’c' if.) :",,,,NEW DELHI,8165015170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170006,,,MANDIR MARG,,376/363,,,Kidnapping-Rape,Rape
1 IPC 1860,".. \wx‘ ”xv... 1""

Distance from P.S (211m fr :3 sh? ﬁrm): Beat N0(Eﬁ?: arr.) : 816501501",,,,NEW DELHI,8165015170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170016,,,MANDIR MARG,,376,25/01/2017,25/01/2017,Rape,Rape
1 IPC 1860,"mm W 3mm m, m Thar HEB—r5 ON ROAD, NEW DELHI",2017-01-31,2017-01-31,Tuesday,NEW DELHI,8165015170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170017,7,2017-02-01,MANDIR MARG,17:00,356/379/34,21:15,21:15,Snatching-Theft,Snatching
1 IPC 1860,ImmanawmﬁﬁﬁﬁraWIﬁﬁmﬁw—dﬁéﬁﬁﬁ,2017-02-01,2017-02-01,Wednesday,NEW DELHI,8165015170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170018,7,2017-02-01,MANDIR MARG,21:50,279/337,21:30,21:30,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,"BABA KHARAK SINGH MARG, TOWARD 0 PLACE, NEAR BUS STAND IN FRONT OF BANGLA SAHIB

ﬂl II-II IHIAIAHA hl—IIII",2017-02-05,2017-02-05,Sunday,NEW DELHI,8165015170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170019,1,2017-02-06,MANDIR MARG,11:20,356/379/34,01:00,01:00,Snatching-Theft,Snatching
1 IPC 1860,smﬁgrhﬁrawmﬁiaﬁaﬁﬁmaéﬁﬁﬁ,2017-02-06,2017-02-06,Monday,NEW DELHI,8165015170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170020,7,2017-02-06,MANDIR MARG,21:50,356/379/34,20:30,20:30,Snatching-Theft,Snatching
1 IPC 1860,"m METRO STATION 25 31%, P.K. ROAD, NEW DELHI",2017-02-10,2017-02-10,Friday,NEW DELHI,8165015170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170022,7,2017-02-10,MANDIR MARG,21:51,379/356/34,21:51,21:51,Snatching-Theft,Snatching
1 IPC 1860,".. \wx‘ ”xv... 1""

Distance from P.S (211m fr :3 sh? ﬁrm): Beat N0(Eﬁ?: arr.) : 816501503",,,,NEW DELHI,8165015170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170027,,,MANDIR MARG,,377,09/02/2017,09/02/2017,Unnatural offence,Others
1 IPC 1860,"H NO Gamma, R Kananatrﬁéﬁwﬁ",2017-02-17,2017-02-18,INTERVENING DAY,NEW DELHI,8165015170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170028,,2017-02-18,MANDIR MARG,08:15,380/457,17:30,08:00,Theft-house-trespass,Theft
1 IPC 1860,".. \wx‘ ”xv... 1""

Distance from P.S (211m fr :3 sh? ﬁrm): Beat N0(Eﬁ?: arr.) : 816501509",,,,NEW DELHI,8165015170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170030,,,MANDIR MARG,,377/506/34,19/02/2017,19/02/2017,Criminal intimidation-Unnatural offence,Others
1 IPC 1860,".. \wx‘ ”xv... 1""

Distance from P.S (211m fr :3 sh? ﬁrm): Beat N0(Eﬁ?: arr.) : 816501104",,,,NEW DELHI,8165011170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165011170019,,,CONNAUGHT PLACE,,429/511/34,30/01/2017,30/01/2017,mischief by killing-offences punishable,Others
1 IPC 1860,"mam éﬁam 1‘4?! @321: as emer, ER awn mﬁ’a W a: TRAFFIC OFFICE, 25 amﬁr CONN. PLACE NEW DEL",2017-02-06,2017-02-06,Monday,NEW DELHI,8165011170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165011170026,4,2017-02-06,CONNAUGHT PLACE,14:00,379/356/411,10:30,10:30,Snatching-Theft,Snatching
1 IPC 1860,"FLAT NO C-ll/3, TILAK LANE % ETFler",2017-01-02,2017-01-03,INTERVENING DAY,NEW DELHI,8165035170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165035170002,,2017-01-03,TILAK MARG,19:05,379,21:00,17:00,Theft,Theft
1 IPC 1860,"MOTHER DAIRY VEGETABLE BOOTH 25 1%, gm amaﬁ 1am mﬁ, TEE ﬁ—aﬁa",2017-01-02,2017-01-02,Monday,NEW DELHI,8165035170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165035170003,3,2017-01-03,TILAK MARG,20:35,341/323/506/34,09:15,09:15,Causing hurt-Criminal intimidation-wrong restraint,Causing hurt-Criminal intimidation-wrong restraint
1 IPC 1860,"GATE No.7, PRAGATI MAIDAN, NEW DELHI",2017-01-07,2017-01-07,Saturday,NEW DELHI,8165035170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165035170006,5,2017-01-07,TILAK MARG,17:50,379/356,15:00,15:00,Snatching-Theft,Snatching
1 IPC 1860,gumﬁfrnﬁﬁnﬁ'iaﬁmﬁﬁmﬁﬂéﬁﬁﬁ,2017-01-18,2017-01-18,Wednesday,NEW DELHI,8165035170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165035170012,2,2017-01-18,TILAK MARG,23:00,279/337,04:27,04:27,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,"IN FRONT OF COURT No.9, DELHI HIGH COURT, NEW DELHI",2017-01-25,2017-01-25,Wednesday,NEW DELHI,8165035170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165035170018,5,2017-01-25,TILAK MARG,18:00,379,13:34,13:34,Theft,Theft
1 IPC 1860,"TODAY HOMES AND INFRASTRUCTURE PVT LTD, STATESMAN HOUSE, 8TH FLOOR, BARAKHAMB/

LII—ll] hf—I I II",,,,NEW DELHI,8165002170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165002170005,,2017-01-03,BARAKHAMBA ROAD,18:00,420/406,,,Criminal breach of trust-cheating,Criminal breach of trust-cheating
1 IPC 1860,"D-ll, 19/1, SCH-A, RP BHAWAN, NEW DELHI",2017-04-12,2017-04-13,INTERVENING DAY,NEW DELHI,8165037170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165037170010,,2017-04-13,SOUTH AVENUE,18:00,363,23:00,02:00,Kidnapping,Kidnapping
1 IPC 1860,mmmﬁmﬁﬁﬁtrﬁﬁfrr,2017-04-12,2017-04-12,Wednesday,NEW DELHI,8165037170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165037170011,,2017-04-17,SOUTH AVENUE,14:10,379,09:00,13:00,Theft,Theft
1 IPC 1860,"mgcrﬁ mm ﬁzao 17, RP BHAWAN, NEW DELHI",2016-05-14,2017-05-14,INTERVENING DAY,NEW DELHI,8165037170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165037170018,,2017-05-15,SOUTH AVENUE,03:15,354(A)/354(C)/354,00:00,00:00,sexual harrasement,sexual harrasement
1 IPC 1860,"31.11% mﬁfﬁ, «74125-2 aga—A, ugtriﬁ 346m",2017-01-27,2017-01-28,INTERVENING DAY,NEW DELHI,8165037170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165037170019,,2017-02-02,SOUTH AVENUE,00:00,379,18:00,10:00,Theft,Theft
1 CENTRAL MOTOR VEHICLE:,Distance from P.S (am i} g8 sh? Eran): Beat No(EﬁE arr.) : 816503712,,,,NEW DELHI,8165037170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165037170021,,,SOUTH AVENUE,,50/177,28/05/2017,28/05/2017,Furnish false info,Others
1 IPC 1860,Wmﬁgawaﬁgﬁﬁﬁrawaéﬁwﬁ,2017-05-30,2017-05-30,Tuesday,NEW DELHI,8165037170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165037170022,7,2017-05-30,SOUTH AVENUE,22:23,356/379/34,21:40,21:40,Snatching-Theft,Snatching
1 IPC 1860,"121W W ENTRY GATE, % ETFlﬁ",2017-07-03,2017-07-03,Monday,NEW DELHI,8165037170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165037170025,5,2017-07-04,SOUTH AVENUE,16:20,279/337,13:30,13:30,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,"grrfnﬁ? COMPOUND, HR: 6, www, :rsfﬁwﬁ",2017-07-16,2017-07-16,Sunday,NEW DELHI,8165037170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165037170026,5,2017-07-16,SOUTH AVENUE,16:05,323/341/354/354(E,15:40,15:40,Causing hurt-sexual harrasement-wrong restraint,sexual harrasement
1 IPC 1860,"GATE No.2 UDYOG BHAWAN METRO STATION, NEW DELHI",2017-08-02,2017-08-02,Wednesday,NEW DELHI,8165037170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165037170028,7,2017-08-02,SOUTH AVENUE,22:10,356/379/34,21:30,21:30,Snatching-Theft,Snatching
1 IPC 1860,"WWW ﬁg, NEW DELHI",2017-08-04,2017-08-04,Friday,NEW DELHI,8165037170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165037170029,3,2017-08-04,SOUTH AVENUE,12:45,279/337,08:00,08:00,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,Wmﬁgﬁvﬁwmaﬁmﬁéﬁﬁﬁ,2017-08-03,2017-08-03,Thursday,NEW DELHI,8165037170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165037170030,7,2017-08-04,SOUTH AVENUE,16:10,356/379/34,21:25,21:25,Snatching-Theft,Snatching
1 IPC 1860,"H.NO 0-40, maﬁ, 25 11mm?! @BTTHJJ COLONY, INDER PURI N.DELHI",2017-01-08,2017-01-08,Sunday,WEST,8170064170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170064170003,7,2017-01-08,INDER PURI,23:00,323/354/354(B),19:30,19:30,Causing hurt-Women abuse-sexual harrasement,sexual harrasement
1 IPC 1860,".. \wx‘ ”xv... 1""

Distance from P.S (211m fr :3 sh? ﬁrm): Beat N0(Eﬁ?: arr.) : 817006410",,,,WEST,8170064170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170064170004,,,INDER PURI,,354(D)/365,09/01/2017,09/01/2017,Kidnapping-Stalking,Kidnapping
1 IPC 1860,Distance from P.S (211m 0 g8 sh? Eran): Beat No(EﬁE arr.) : 817006401,,,,WEST,8170064170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170064170018,,,INDER PURI,,279,25/01/2017,25/01/2017,Rash driving,Rash driving
1 IPC 1860,Eamsranﬁtmﬁﬁmﬁﬁmﬁﬁhﬂgjm,2017-01-20,2017-01-20,Friday,WEST,8170064170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170064170021,1,2017-01-28,INDER PURI,21:00,323/341/354/354(E,00:00,00:00,Causing hurt-sexual harrasement-wrong restraint,sexual harrasement
1 IPC 1860,"WZ-241/l, INDERPURI, NEAR KHADDA WALA PARK, 110012",2016-01-04,2016-01-04,Monday,WEST,8170064170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170064170026,5,2017-02-06,INDER PURI,21:30,379/411,14:00,14:00,Theft,Theft
1 IPC 1860,"D-ll, 244, IST FLOOR, MADANGIRI, NEW DELHI",,,,WEST,8170064170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170064170027,,2017-02-09,INDER PURI,19:00,498A/406/34,,,Criminal breach of trust-domestic abuse,domestic abuse
1 IPC 1860,FUN cmmﬂamﬁﬁnmﬁawmwﬁmﬁm,2017-01-02,2017-01-02,Monday,WEST,8170029170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170029170003,3,2017-01-02,MOTI NAGAR,10:30,356/379,09:30,09:30,Snatching-Theft,Snatching
1 IPC 1860,"T-gowesmmmgq,awﬁ",2017-01-02,2017-01-02,Monday,WEST,8170029170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170029170004,7,2017-01-02,MOTI NAGAR,23:50,324/34,21:00,21:00,hurt by dangerous weapons,hurt by dangerous weapons
1 IPC 1860,ﬁarwigalézmﬁmﬁgﬁﬁ’twmég,2017-01-05,2017-01-05,Thursday,WEST,8170029170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170029170009,7,2017-01-06,MOTI NAGAR,01:25,356/379/34,21:30,21:30,Snatching-Theft,Snatching
1 IPC 1860,CLAY 1 GRILL 35 mm,2017-01-05,2017-01-05,Thursday,WEST,8170029170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170029170010,7,2017-01-06,MOTI NAGAR,17:55,323/341/3541'34,20:00,20:00,Causing hurt-wrong restraint,Causing hurt-wrong restraint
1 IPC 1860,"WZ-1goa'aémgzﬁwﬁ,§cﬁl=r%a1gt",2017-01-07,2017-01-07,Saturday,WEST,8170029170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170029170013,7,2017-01-08,MOTI NAGAR,01:10,323/341/506/34,21:20,21:20,Causing hurt-Criminal intimidation-wrong restraint,Causing hurt-Criminal intimidation-wrong restraint
1 IPC 1860,"Distance from P.S (211m 0 g8 30? Eran): EAST, 0.1 KM(5) Beat No(EﬁE arr.) : 817002905",,,,WEST,8170029170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170029170019,,,MOTI NAGAR,,279/337,12/01/2017,12/01/2017,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,"SHOP NO. 4,5 NEW, W W, m-cﬁ am, ﬁa—oﬁ, 110015",2017-01-20,2017-01-20,Friday,WEST,8170029170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170029170025,8,2017-01-20,MOTI NAGAR,22:50,188,22:00,22:00,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order
1 IPC 1860,"PIND BALLUCHI RESTAURANT, l-7 KAILASH PARK, MOTI NAGAR, DELHI, 110015",2017-01-20,2017-01-20,Friday,WEST,8170029170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170029170026,8,2017-01-20,MOTI NAGAR,23:55,188,23:00,23:00,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order
1 IPC 1860,".. \wx‘ ”xv... 1""

Distance from P.S (211m fr :3 sh? ﬁrm): NORTH-EAST, 2 KM(s) Beat N0(Eﬁ?: arr.) : 817006004",,,,WEST,8170060170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170060170008,,,VIKASPURI,,376/342/363,08/01/2017,08/01/2017,Kidnapping-Rape-wrongful confinement,Rape
1 IPC 1860,"NAJAF GARH ROAD DHOLI PIYOU VIKAS PURI RED LIGHT TO, UTTAM NAGAR ﬁﬁmﬁmﬁo 603 a

""JAR—Q-",2017-01-10,2017-01-10,Tuesday,WEST,8170060170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170060170011,7,2017-01-10,VIKASPURI,22:30,379/356/34,21:30,21:30,Snatching-Theft,Snatching
1 IPC 1860,"E-259, GALI No.11 KHYALA, DELHI",2017-01-08,2017-01-08,Sunday,WEST,8170062170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170004,5,2017-01-09,KHYALA,14:40,363,15:00,15:00,Kidnapping,Kidnapping
1 IPC 1860,ﬁEHoz $2ﬁgﬁz$mnﬁﬁgm,2017-01-14,2017-01-14,Saturday,WEST,8170062170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170008,3,2017-01-14,KHYALA,11:25,279/337,08:00,08:00,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,"H.NO. 5D/26, GALI No.7, DHARAMPURI, KHYALA,, DELHI",2017-01-15,2017-01-15,Sunday,WEST,8170062170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170010,6,2017-01-17,KHYALA,14:30,363,17:00,17:00,Kidnapping,Kidnapping
1 IPC 1860,"857 MASJID ,KHYALA, DELHI @r saTPrﬁFrrcﬁ :muﬁ FITCH, Grﬁmm m",2017-01-18,2017-01-18,Wednesday,WEST,8170062170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170011,8,2017-01-19,KHYALA,00:55,279/337,23:30,23:30,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,Distance from P.S (211m 0 g8 sh? Eran): Beat No(EﬁE arr.) : 817004302,,,,WEST,8170043170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170003,,,PUNJABI BAGH,,279,01/01/2017,01/01/2017,Rash driving,Rash driving
1 IPC 1860,"CLUB ROAD NEAR, El'ﬁ'a N.11UTrI'IEﬁE-I11Tﬁﬁﬁ",2017-01-06,2017-01-06,Friday,WEST,8170043170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170010,8,2017-01-06,PUNJABI BAGH,23:40,356/379,22:30,22:30,Snatching-Theft,Snatching
1 IPC 1860,"INFRONT OF KOTHI No.45, WEST AVENUE ROAD, PUNJABI BAGH DELHI.",2017-01-09,2017-01-09,Monday,WEST,8170043170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170013,7,2017-01-09,PUNJABI BAGH,22:00,356/379/34,21:00,21:00,Snatching-Theft,Snatching
1 IPC 1860,"ROAD NO 7 ﬁEaﬁ Emir, EAST PUNJABI BAGH, NEW DELHI",2017-01-18,2017-01-18,Wednesday,WEST,8170043170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170021,5,2017-01-18,PUNJABI BAGH,20:30,356/379,15:45,15:45,Snatching-Theft,Snatching
1 IPC 1860,"ROAD No.77, NEAR ISHKON TEMPLE, WEST PUNJABI BAGH DELHI.",2017-01-19,2017-01-19,Thursday,WEST,8170043170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170024,7,2017-01-19,PUNJABI BAGH,21:05,379/411,19:00,19:00,Theft,Theft
1 IPC 1860,"ﬁﬁﬁgﬁtﬁﬁgmm, asﬁth‘rtntﬁMETRo STN 313%er",2017-01-18,2017-01-18,Wednesday,WEST,8170043170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170026,7,2017-01-20,PUNJABI BAGH,19:20,356/379/34,20:30,20:30,Snatching-Theft,Snatching
1 IPC 1860,".. \wx‘ ”xv... 1""

Distance from P.S (211m fr :3 sh? ﬁrm): Beat N0(Eﬁ?: arr.) : 817005114",,,,WEST,8170051170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170019,,,TILAK NAGAR,,354/354(D)/506,,,Criminal intimidation-Stalking-sexual harrasement,sexual harrasement
1 IPC 1860,"ELF?! EI'IFrIT WEE, 22 BLOCK, TILAK NAGAR DELHI",2017-01-19,2017-01-19,Thursday,WEST,8170051170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170027,5,2017-01-19,TILAK NAGAR,18:10,356/379/34,15:45,15:45,Snatching-Theft,Snatching
1 IPC 1860,"cmﬁ 2% ﬂ, M s GARDEW ENE?",2017-01-06,2017-01-06,Friday,WEST,8170025170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170025170004,6,2017-01-06,KIRTI NAGAR,17:05,283,16:00,16:00,obstruction by a person,obstruction by a person
1 IPC 1860,"B-117, WHS KIRTI NAGAR DELHI, 2F) atmﬁ mﬁm",2017-01-06,2017-01-06,Friday,WEST,8170025170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170025170005,6,2017-01-06,KIRTI NAGAR,18:10,283,17:10,17:10,obstruction by a person,obstruction by a person
1 IPC 1860,"HTc: ﬁ'gj mam, anﬁ 5/35 aﬁﬁ’fmﬁ, NEW DELHI",2017-01-06,2017-01-06,Friday,WEST,8170025170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170025170006,7,2017-01-07,KIRTI NAGAR,01:15,323/341/34,19:20,19:20,Causing hurt-wrong restraint,Causing hurt-wrong restraint
1 IPC 1860,"HTcZﬁ'QPI Maw, @1111 5/35 aﬁ-ﬁm, Wag-ca ﬂaw, NEW DELHI.",2017-01-06,2017-01-06,Friday,WEST,8170025170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170025170007,7,2017-01-07,KIRTI NAGAR,03:00,323/341/34,19:00,19:00,Causing hurt-wrong restraint,Causing hurt-wrong restraint
1 IPC 1860,"2/27, WHS KIRTI NAGAR, 35 Emir Tia ER",2017-01-08,2017-01-08,Sunday,WEST,8170025170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170025170009,7,2017-01-08,KIRTI NAGAR,20:00,283,19:20,19:30,obstruction by a person,obstruction by a person
1 IPC 1860,ﬁﬁmﬁgﬁmhmmﬁﬁwﬁﬁﬁ,2017-01-09,2017-01-09,Monday,WEST,8170025170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170025170011,7,2017-01-09,KIRTI NAGAR,22:15,283,21:30,21:30,obstruction by a person,obstruction by a person
