acts,address,datefrom,dateto,day,district,filename,link,pahar,psdate,pstation,pstime,section,timefrom,timeto
1 IPC 1860,".. \wx‘ ”xv... 1""

Distance from P.S (211m fr :3 sh? ﬁrm): Beat N0(Eﬁ?: arr.) : 816503808",,,,NEW DELHI,8165038170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170026,,,NORTH AVENUE,,376,30/03/2017,30/03/2017
1 IPC 1860,mmﬁgﬁéﬁwﬁﬁﬁzaﬁﬁﬁﬂ,,,,NEW DELHI,8165038170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170027,,2017-04-07,NORTH AVENUE,19:30,279/337,,
1 IPC 1860,"BASEMENT PARKING, :Iﬁ'dr earn-ﬁre, N.D",2017-04-08,2017-04-09,INTERVENING DAY,NEW DELHI,8165038170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170028,,2017-04-09,NORTH AVENUE,20:00,379,09:00,09:00
1 IPC 1860,"EMERGENCY WARD, DR. R.M.L HOSPITAL, N.D",2017-04-14,2017-04-14,Friday,NEW DELHI,8165038170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170029,3,2017-04-15,NORTH AVENUE,16:00,186/353/332,06:30,07:00
1 IPC 1860,"8, TALKATORA RD, NEW DELHI, SERVANT QUARTER",2017-04-20,2017-04-20,Thursday,NEW DELHI,8165038170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170030,2,2017-04-20,NORTH AVENUE,12:35,436/337,04:00,04:00
1 IPC 1860,"SUBRAMANIA BHARATI MARG, IN FRONT OF KOTHI NO. 6, LODHI ESTATE, NEW DELHI",2017-01-12,2017-01-12,Thursday,NEW DELHI,8165036170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170002,1,2017-01-12,TUGHLAK ROAD,03:40,279/337,03:30,03:30
1 IPC 1860,"IN FRONT OF KOTHI NO. 5, SAFDARJUNG ROAD, NEW DELHI",2017-01-12,2017-01-12,Thursday,NEW DELHI,8165036170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170003,7,2017-01-12,TUGHLAK ROAD,21:15,279/337/379/34,21:00,21:00
1 IPC 1860,KOLKATA TO NEW DELHI,2017-01-12,2017-01-12,Thursday,NEW DELHI,8165036170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170004,,2017-01-16,TUGHLAK ROAD,00:00,379,10:35,13:00
1 IPC 1860,"57, LODHI ESTATE, NEW DELHI",2017-01-18,2017-01-19,INTERVENING DAY,NEW DELHI,8165036170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170005,,2017-01-19,TUGHLAK ROAD,15:00,380/457,20:00,14:20
1 IPC 1860,"PR ROAD, AURANGZEB LANE CROSSING, NEW DELHI",2017-01-20,2017-01-20,Friday,NEW DELHI,8165036170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170006,7,2017-01-20,TUGHLAK ROAD,19:11,279,19:00,19:00
1 IPC 1860,"TUGHLAK ROAD, NEAR BUS STAND HANUMAN MANDIR, NEW DELHI",2017-01-22,2017-01-22,Sunday,NEW DELHI,8165036170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170007,5,2017-01-22,TUGHLAK ROAD,16:50,279/337,14:00,14:00
1 IPC 1860,"IN BETWEEN, GURGOAN TO 0-1/3, LODHI GARDEN, NEW DELHI",2017-01-27,2017-01-27,Friday,NEW DELHI,8165036170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170008,,2017-01-28,TUGHLAK ROAD,20:30,379,18:00,23:30
1 IPC 1860,"BASMENT PARTY HALL, INDIA ISLAMIC CENTRE, LODHI ROAD, NEW DELHI",2017-01-29,2017-01-29,Sunday,NEW DELHI,8165036170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170009,1,2017-01-29,TUGHLAK ROAD,01:40,380,01:00,01:20
1 IPC 1860,"5, MAN SINGH ROAD, NEW DELHI",2013-12-12,2016-02-10,INTERVENING DAY,NEW DELHI,8165036170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170010,,2016-02-11,TUGHLAK ROAD,11:00,420,00:00,23:59
1 IPC 1860,"98, LODHI ESTATE, NEW DELHI",2017-02-03,2017-02-04,INTERVENING DAY,NEW DELHI,8165036170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170011,,2017-02-04,TUGHLAK ROAD,08:45,379,23:00,06:00
1 IPC 1860,"PR ROAD, NEW DELHI",2017-01-30,2017-01-30,Monday,NEW DELHI,8165036170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170012,8,2017-01-30,TUGHLAK ROAD,22:10,279/337,22:00,22:00
1 IPC 1860,"32, ABDUL KALAM ROAD, NEW DELHI",2017-02-02,2017-02-02,Thursday,NEW DELHI,8165036170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170013,4,2017-02-02,TUGHLAK ROAD,15:00,420,12:05,12:05
1 IPC 1860,"IN FRONT OF KOTHI NO 28, PR ROAD, NEW DELHI",2017-02-08,2017-02-08,Wednesday,NEW DELHI,8165036170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170014,5,2017-02-08,TUGHLAK ROAD,13:34,279/337,13:15,13:15
1 IPC 1860,"MAHARISHI RAMAN MARG, BHARTI NAGAR, GATE NO. 7, NEW DELHI",2017-02-17,2017-02-18,INTERVENING DAY,NEW DELHI,8165036170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170015,,2017-02-18,TUGHLAK ROAD,07:53,380,17:00,07:00
1 IPC 1860,"RACE COURSE, NEW DELHI",2017-02-23,2017-02-23,Thursday,NEW DELHI,8165036170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170016,4,2017-02-27,TUGHLAK ROAD,14:35,420,11:30,11:30
1 IPC 1860,"LOK NAYAK BHAWAN, KHAN MARKET, NEW DELHI",2017-03-12,2017-03-12,Sunday,NEW DELHI,8165036170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170017,6,2017-03-12,TUGHLAK ROAD,20:10,379,16:00,16:00
1 IPC 1860,"Distance from P.S (am i} gﬁ sh? Eran): SOUTH-EAST, 1.5 KM(5) Beat No(EﬁE arr.) : 816503608",,,,NEW DELHI,8165036170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170018,,,TUGHLAK ROAD,,279,12/03/2017,12/03/2017
1 IPC 1860,"PARKING, KHAN MARKET, NEW DELHI",2017-03-14,2017-03-14,Tuesday,NEW DELHI,8165036170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170019,8,2017-03-14,TUGHLAK ROAD,22:59,356/379/34,22:55,22:55
1 IPC 1860,"IN FRONT OF IIC, MAX MULLARG MARG, NEW DELHI",2017-03-15,2017-03-15,Wednesday,NEW DELHI,8165036170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170020,7,2017-03-15,TUGHLAK ROAD,20:50,279/337,20:40,20:40
1 IPC 1860,"SAFDARJUNG ROAD, INFRONT OF 27 SAFDARJUNG ROAD, NEW DELHI",2017-03-30,2017-03-30,Thursday,NEW DELHI,8165036170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170021,4,2017-03-30,TUGHLAK ROAD,12:24,279/337,12:23,12:23
1 IPC 1860,"COMMUNITY CENTRE, GOLF LINKS, NEW DELHI",2014-04-14,2014-06-30,INTERVENING DAY,NEW DELHI,8165036170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170022,,2014-08-04,TUGHLAK ROAD,00:00,406/420/12OB,00:00,00:00
1 IPC 1860,"MOLANA AZAD ROAD FOOTPATH, IN FRONT OF VIGYAN BHAWAN, MEENA BAGH, NEW DELHI",2017-04-10,2017-04-10,Monday,NEW DELHI,8165036170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170023,8,2017-04-11,TUGHLAK ROAD,00:35,379/356/34,23:10,23:10
1 IPC 1860,"BEHIND OF KOTHI No.3, SAFDARJUNG LANE, NEW DELHI",2017-04-17,2017-04-17,Monday,NEW DELHI,8165036170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170024,5,2017-04-17,TUGHLAK ROAD,15:38,354,14:25,14:25
1 IPC 1860,"31, IST FLOOR, GOLF LINKS, NEW DELHI",2017-04-20,2017-04-21,INTERVENING DAY,NEW DELHI,8165036170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170025,,2017-04-21,TUGHLAK ROAD,08:58,380/457,22:00,06:00
1 IPC 1860,"INDIA INTERNATIONAL CENTRE, 40 MAX MULLAR MARG IN HALL, NEW DELHI",2017-04-24,2017-04-24,Monday,NEW DELHI,8165036170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170026,7,2017-04-24,TUGHLAK ROAD,21:37,380,18:30,21:30
1 IPC 1860,"157, GOLF LINK, NEW DELHI",2017-04-25,2017-04-25,Tuesday,NEW DELHI,8165036170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170027,,2017-04-25,TUGHLAK ROAD,07:19,380/457,02:00,05:00
1 IPC 1860,"TEES JANUARY MARG, OPPOSITE KOTHI NO. 10, NEW DELHI",2017-04-25,2017-04-25,Tuesday,NEW DELHI,8165036170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170028,8,2017-04-25,TUGHLAK ROAD,23:11,279/304A,23:11,23:11
1 IPC 1860,"KOTHI NO. 24, GOLF LINKS, NEW DELHI",2017-04-30,2017-04-30,Sunday,NEW DELHI,8165036170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170029,,2017-04-30,TUGHLAK ROAD,11:20,380/457,01:00,07:00
1 IPC 1860,"AMRITA SHERGIL MARG, NEAR LODHI GARDEN, NEW DELHI",2017-04-30,2017-04-30,Sunday,NEW DELHI,8165036170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170030,6,2017-04-30,TUGHLAK ROAD,18:22,379,17:30,18:22
1 IPC 1860,"Wﬁm, LINK ROAD, NEAR JHANDEWALAN, METRO STATION, NEW DELHI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165015170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170002,5,2017-01-05,MANDIR MARG,18:00,279,15:00,15:00
1 IPC 1860,"D 596, MANDIR MARG, NEW DELHI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165015170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170003,8,2017-01-07,MANDIR MARG,16:05,363,23:00,23:00
1 IPC 1860,"430, SEC-4 TFrIT Elm, Tthr mﬁn-a, :rsf ﬁwﬁ",2017-01-09,2017-01-09,Monday,NEW DELHI,8165015170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170004,6,2017-01-10,MANDIR MARG,09:00,363,16:30,16:30
