acts,address,datefrom,dateto,day,district,filename,link,pahar,psdate,pstation,pstime,section,timefrom,timeto,Formatted_address,Lat,Long,full_charge,group_charge,hour
1 IPC 1860,"NEAR NALA 11 MURTI, CHANAKYA PURI, NEW DELHI",2017-03-18,2017-03-18,Saturday,NEW DELHI,8165007170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170025,2,2017-03-18,CHANKYA PURI,05:15,392/34,03:30,05:00,"Mother Teresa Cres, Willingdon Crescent, Malcha, New Delhi, Delhi 110011, India",28.6101074,77.1916048,Robbery,Robbery,3.0
1 IPC 1860,"H.NO. 71, TEEN MURTI POLICE COUMPOUND, CHANAKYA PURI",2017-03-27,2017-03-27,Monday,NEW DELHI,8165007170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170026,6,2017-03-28,CHANKYA PURI,12:32,363,18:30,18:30,"Teen Murti Marg, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India",28.6031333,77.19597440000003,Kidnapping,Kidnapping,18.0
1 IPC 1860,"G-AVENUE, NEAR D 1-D 2 FLATS, CHANAKYA PURI, NEW DELHI",2017-03-29,2017-03-29,Wednesday,NEW DELHI,8165007170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170027,7,2017-03-29,CHANKYA PURI,23:15,379/356/34,21:40,21:45,"29/32, 1st Main Rd, Andrews Ganj, New Delhi, Delhi 110049, India",28.5664415,77.2277843,Snatching-Theft,Snatching,21.0
1 IPC 1860,"IN FRONT OF US EMBASSY, CH PURI, NEW DELHI",2017-04-01,2017-04-01,Saturday,NEW DELHI,8165007170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170029,0,2017-01-04,CHANKYA PURI,23:05,354(D)/509/34,17:00,23:00,"Shantipath, Chanakyapuri, New Delhi, Delhi 110021, India",28.5975663,77.1880475,Stalking-sexual harrasement,sexual harrasement,17.0
1 IPC 1860,"D-1/175, SATYA MARG, CHANAKYA PURI, NEW DELHI",2017-04-02,2017-04-02,Sunday,NEW DELHI,8165007170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170030,0,2017-02-04,CHANKYA PURI,10:40,380/457,00:00,10:10,"1, Satya Marg, Chanakyapuri, New Delhi, Delhi 110021, India",28.5876679,77.18753000000002,Theft-house-trespass,Theft,0.0
1 IPC 1860,"INFRONT OF ETHOPIA CULTURE CENTRE, CHANAKYA PURI, NEW DELHI",2017-04-02,2017-04-02,Sunday,NEW DELHI,8165007170031.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170031,8,2017-02-04,CHANKYA PURI,22:35,379/356/34,21:15,22:15,"7/50 G,Niti marg, Chanakya Puri, New Delhi, Delhi 110021, India",28.5880707,77.1891431,Snatching-Theft,Snatching,21.0
1 IPC 1860,"P.P. MARG, ON ROAD,, NEAR GOAL DAK KHANA,, NEW DELHI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165038170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170004,8,2017-05-01,NORTH AVENUE,23:40,356/379,22:30,22:30,"Gol Dak Khana Roundabout, Near Gurudwara Bangla Sahib, New Delhi, Delhi 110001, India",28.6269416,77.2066477,Snatching-Theft,Snatching,22.0
1 IPC 1860,"38, GURUDWARA RAKAB GANJ ROAD, STAFF QUATER, NEW DELHI",2017-01-14,2017-01-14,Saturday,NEW DELHI,8165038170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170007,7,2017-01-14,NORTH AVENUE,21:15,363,20:00,20:00,"Gurudwara Rakabganj Road, New Delhi, Delhi 110001, India",28.620264,77.20571509999998,Kidnapping,Kidnapping,20.0
1 IPC 1860,"RML HOSPITAL, NEW DELHI",2017-01-15,2017-01-15,Sunday,NEW DELHI,8165038170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170008,2,2017-01-15,NORTH AVENUE,08:40,380,06:00,06:00,"Baba Kharak Singh Marg, Near Gurudwara Bangla Sahib, Connaught Place, New Delhi, Delhi 110001, India",28.625634,77.20292099999998,Theft,Theft,6.0
1 IPC 1860,"B.K.S MARG N.D.P.O., BUS STAND, NEW DELHI",2017-01-18,2017-01-18,Wednesday,NEW DELHI,8165038170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170010,4,2017-01-18,NORTH AVENUE,12:15,279/337,11:30,11:30,"Shiv Chowk, Kataria Market, New Mata Mandir Rd, Rajiv Nagar, Sector 13, Gurugram, Haryana 122001, India",28.475919,77.035321,Rash driving-endangering safety of others,Rash driving,11.0
1 IPC 1860,"14 PANDIT PANT MARG, NEW DELHI",2017-02-01,2017-02-01,Wednesday,NEW DELHI,8165038170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170013,5,2017-01-02,NORTH AVENUE,14:43,379,14:20,14:20,"14, Pandit Pant Marg, Baba Kharak Singh Marg Area, New Delhi, Delhi 110001, India",28.621275800000006,77.2062871,Theft,Theft,14.0
1 IPC 1860,"ROOM NO. 15 GYNEE OPD, DR. RML HOSPITAL, NEW DELHI",2017-02-03,2017-02-03,Friday,NEW DELHI,8165038170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170014,0,2017-04-02,NORTH AVENUE,13:25,380,14:00,16:30,"Baba Kharak Singh Marg, Near Gurudwara Bangla Sahib, Connaught Place, New Delhi, Delhi 110001, India",28.625634,77.20292099999998,Theft,Theft,14.0
1 IPC 1860,"IN FRONT OF 8 GURUDWARA RAKAB GANJ, ROAD DELHI, NEW DELHI",2017-02-04,2017-02-04,Saturday,NEW DELHI,8165038170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170015,7,2017-05-02,NORTH AVENUE,15:15,379,19:00,19:00,"Guru Gobind Singh Bhawan, Gurudwara Rakabganj Road, Gokul Nagar, Pandit Pant Marg Area, Central Secretariat, New Delhi, Delhi 110004, India",28.619794,77.205659,Theft,Theft,19.0
1 IPC 1860,"IIIRD FLOOR OPD, DR. RML HOSPITAL, NEW DELHI",2017-02-27,2017-02-27,Monday,NEW DELHI,8165038170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170020,4,2017-02-28,NORTH AVENUE,15:25,379,12:00,12:00,"Baba Kharak Singh Marg, Near Gurudwara Bangla Sahib, Connaught Place, New Delhi, Delhi 110001, India",28.625634,77.20292099999998,Theft,Theft,12.0
1 IPC 1860,"EMERGENCY WARD, DR. R.M.L HOSPITAL, N.D",2017-04-14,2017-04-14,Friday,NEW DELHI,8165038170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170029,3,2017-04-15,NORTH AVENUE,16:00,186/353/332,06:30,07:00,"Baba Kharak Singh Marg, Near Gurudwara Bangla Sahib, Connaught Place, New Delhi, Delhi 110001, India",28.625634,77.20292099999998,Disobedience to pub. Serv. Order-hurting public servant,Others,6.0
1 IPC 1860,"8, TALKATORA RD, NEW DELHI, SERVANT QUARTER",2017-04-20,2017-04-20,Thursday,NEW DELHI,8165038170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170030,2,2017-04-20,NORTH AVENUE,12:35,436/337,04:00,04:00,"North Ave, North Avenue Road Area, Raisina Hills, New Delhi, Delhi 110001, India",28.6190212,77.2007038,endangering safety of others-mischief by fire,Others,4.0
1 IPC 1860,KOLKATA TO NEW DELHI,2017-01-12,2017-01-12,Thursday,NEW DELHI,8165036170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170004,0,2017-01-16,TUGHLAK ROAD,00:00,379,10:35,13:00,"Ground Floor, Block “E”, American Plaza, International Trade Tower, Nehru Place, New Delhi, Delhi 110019, India",28.5507964,77.2504572,Theft,Theft,10.0
1 IPC 1860,"57, LODHI ESTATE, NEW DELHI",2017-01-18,2017-01-19,INTERVENING DAY,NEW DELHI,8165036170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170005,0,2017-01-19,TUGHLAK ROAD,15:00,380/457,20:00,14:20,"57, Lodhi Estate, New Delhi, Delhi 110003, India",28.592674,77.223961,Theft-house-trespass,Theft,20.0
1 IPC 1860,"PR ROAD, AURANGZEB LANE CROSSING, NEW DELHI",2017-01-20,2017-01-20,Friday,NEW DELHI,8165036170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170006,7,2017-01-20,TUGHLAK ROAD,19:11,279,19:00,19:00,"Bhavan - Prithviraj Ln, New Lok Nagar, Sujan Sing Park North, Sujan Singh Park, New Delhi, Delhi 110003, India",28.601549,77.22556390000003,Rash driving,Rash driving,19.0
1 IPC 1860,"BASMENT PARTY HALL, INDIA ISLAMIC CENTRE, LODHI ROAD, NEW DELHI",2017-01-29,2017-01-29,Sunday,NEW DELHI,8165036170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170009,1,2017-01-29,TUGHLAK ROAD,01:40,380,01:00,01:20,"87-88, Lodhi Rd, Lodhi Gardens, Lodhi Estate, New Delhi, Delhi 110003, India",28.5908415,77.22195390000002,Theft,Theft,1.0
1 IPC 1860,"98, LODHI ESTATE, NEW DELHI",2017-02-03,2017-02-04,INTERVENING DAY,NEW DELHI,8165036170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170011,0,2017-04-02,TUGHLAK ROAD,08:45,379,23:00,06:00,"98, Gokalpuri, Lodhi Estate, New Delhi, Delhi 110003, India",28.591292,77.227453,Theft,Theft,23.0
1 IPC 1860,"PR ROAD, NEW DELHI",2017-01-30,2017-01-30,Monday,NEW DELHI,8165036170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170012,8,2017-01-30,TUGHLAK ROAD,22:10,279/337,22:00,22:00,"321, Ignou Main Rd, Phase 2, Neb Sarai, Sainik Farm, New Delhi, Delhi 110068, India",28.505511,77.199114,Rash driving-endangering safety of others,Rash driving,22.0
1 IPC 1860,"32, ABDUL KALAM ROAD, NEW DELHI",2017-02-02,2017-02-02,Thursday,NEW DELHI,8165036170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170013,4,2017-02-02,TUGHLAK ROAD,15:00,420,12:05,12:05,"32, Dr APJ Abdul Kalam Rd, Tees January Road Area, Motilal Nehru Marg Area, New Delhi, Delhi 110001, India",28.5978703,77.21160390000001,cheating,cheating,12.0
1 IPC 1860,"MAHARISHI RAMAN MARG, BHARTI NAGAR, GATE NO. 7, NEW DELHI",2017-02-17,2017-02-18,INTERVENING DAY,NEW DELHI,8165036170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170015,0,2017-02-18,TUGHLAK ROAD,07:53,380,17:00,07:00,"Maharshi Raman Marg, Bharti Nagar, New Delhi, Delhi 110003, India",28.598356,77.2293716,Theft,Theft,17.0
1 IPC 1860,"RACE COURSE, NEW DELHI",2017-02-23,2017-02-23,Thursday,NEW DELHI,8165036170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170016,4,2017-02-27,TUGHLAK ROAD,14:35,420,11:30,11:30,"Safdarjang's Tomb, Lodhi Estate, New Delhi, Delhi 110021, India",28.5950912,77.20279000000002,cheating,cheating,11.0
1 IPC 1860,"LOK NAYAK BHAWAN, KHAN MARKET, NEW DELHI",2017-03-12,2017-03-12,Sunday,NEW DELHI,8165036170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170017,6,2017-12-03,TUGHLAK ROAD,20:10,379,16:00,16:00,"110003, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",28.600278000000007,77.22680600000002,Theft,Theft,16.0
1 IPC 1860,"PARKING, KHAN MARKET, NEW DELHI",2017-03-14,2017-03-14,Tuesday,NEW DELHI,8165036170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170019,8,2017-03-14,TUGHLAK ROAD,22:59,356/379/34,22:55,22:55,"138/47, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",28.5997145,77.2269171,Snatching-Theft,Snatching,22.0
1 IPC 1860,"MOLANA AZAD ROAD FOOTPATH, IN FRONT OF VIGYAN BHAWAN, MEENA BAGH, NEW DELHI",2017-04-10,2017-04-10,Monday,NEW DELHI,8165036170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170023,8,2017-11-04,TUGHLAK ROAD,00:35,379/356/34,23:10,23:10,"Maulana Azad Road, Central Secretariat, New Delhi, Delhi 110049, India",28.6107103,77.22055999999998,Snatching-Theft,Snatching,23.0
1 IPC 1860,"31, IST FLOOR, GOLF LINKS, NEW DELHI",2017-04-20,2017-04-21,INTERVENING DAY,NEW DELHI,8165036170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170025,0,2017-04-21,TUGHLAK ROAD,08:58,380/457,22:00,06:00,"31, 1st Cross Rd, Block H, Sarojini Nagar, New Delhi, Delhi 110023, India",28.5782157,77.196561,Theft-house-trespass,Theft,22.0
1 IPC 1860,"INDIA INTERNATIONAL CENTRE, 40 MAX MULLAR MARG IN HALL, NEW DELHI",2017-04-24,2017-04-24,Monday,NEW DELHI,8165036170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170026,7,2017-04-24,TUGHLAK ROAD,21:37,380,18:30,21:30,"India International Centre, 40, Lodhi Gardens, Lodhi Estate, New Delhi, Delhi 110003, India",28.5935877,77.222732,Theft,Theft,18.0
1 IPC 1860,"157, GOLF LINK, NEW DELHI",2017-04-25,2017-04-25,Tuesday,NEW DELHI,8165036170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170027,0,2017-04-25,TUGHLAK ROAD,07:19,380/457,02:00,05:00,"157, Golf Links, New Delhi, Delhi 110003, India",28.594728000000003,77.23147940000001,Theft-house-trespass,Theft,2.0
1 IPC 1860,"TEES JANUARY MARG, OPPOSITE KOTHI NO. 10, NEW DELHI",2017-04-25,2017-04-25,Tuesday,NEW DELHI,8165036170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170028,8,2017-04-25,TUGHLAK ROAD,23:11,279/304A,23:11,23:11,"Kama Koti Marg, RK Puram, New Delhi, Delhi 110022, India",28.5638679,77.17276059999998,Negligence conduct-Rash driving,Rash driving,23.0
1 IPC 1860,"KOTHI NO. 24, GOLF LINKS, NEW DELHI",2017-04-30,2017-04-30,Sunday,NEW DELHI,8165036170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170029,0,2017-04-30,TUGHLAK ROAD,11:20,380/457,01:00,07:00,"Gautam Nagar, New Delhi, Delhi 110049, India",28.5609664,77.2111645,Theft-house-trespass,Theft,1.0
1 IPC 1860,"AMRITA SHERGIL MARG, NEAR LODHI GARDEN, NEW DELHI",2017-04-30,2017-04-30,Sunday,NEW DELHI,8165036170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170030,6,2017-04-30,TUGHLAK ROAD,18:22,379,17:30,18:22,"Amrita Shergill Marg, New Delhi, Delhi 110003, India",28.5962365,77.2196873,Theft,Theft,17.0
1 IPC 1860,"D 596, MANDIR MARG, NEW DELHI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165015170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170003,8,2017-07-01,MANDIR MARG,16:05,363,23:00,23:00,"596, Mandir Marg, Sector D, Type 3, Sector C, Gole Market, New Delhi, Delhi 110001, India",28.6379173,77.2031319,Kidnapping,Kidnapping,23.0
1 IPC 1860,"UNDER R.KASHRAM METRO STATION, NEW DELHI",2017-01-17,2017-01-17,Tuesday,NEW DELHI,8165015170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170007,7,2017-01-17,MANDIR MARG,22:35,379,19:00,19:15,"kreshna street, Paharganj, New Delhi, Delhi, India",28.6392677,77.2084495,Theft,Theft,19.0
1 IPC 1860,BIHAR,2015-06-13,2015-12-21,INTERVENING DAY,NEW DELHI,8165015170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170011,0,2017-01-21,MANDIR MARG,00:00,498A/406/34,00:00,00:00,"Bihar, India",25.0960742,85.3131194,Criminal breach of trust-domestic abuse,domestic abuse,0.0
1 IPC 1860,NEW DELHI,2015-08-27,2015-11-19,INTERVENING DAY,NEW DELHI,8165015170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170012,0,2017-01-22,MANDIR MARG,00:00,498A/406/34,00:00,00:00,"New Delhi, Delhi, India",28.6139391,77.20902120000002,Criminal breach of trust-domestic abuse,domestic abuse,0.0
1 IPC 1860,"ON BANGLA SAHIB ROAD, IN FRONT OF JESES AND MARRY SCHOOL GATE, NEW DELHI",2017-02-10,2017-02-10,Friday,NEW DELHI,8165015170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170021,7,2017-10-02,MANDIR MARG,20:00,379/356/411,19:30,19:30,"1, Bangla Sahib Rd, Kali Mandir, Connaught Place, New Delhi, Delhi 110001, India",28.629701,77.2093469,Snatching-Theft,Snatching,19.0
1 IPC 1860,"SHOP NO. 46, BHAGAT SINGH MARKET, GOLE MARKET, NEW DELHI",2017-02-11,2017-02-12,INTERVENING DAY,NEW DELHI,8165015170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170023,0,2017-12-02,MANDIR MARG,10:38,380/457,22:00,10:00,"22, Bhagat Singh Market, Shaheed Bhagat Singh Marg, Sector 4, Gole Market, New Delhi, Delhi 110001, India",28.6334317,77.2079333,Theft-house-trespass,Theft,22.0
1 IPC 1860,"NEAR INDIAN OIL PETROL PUMP, ON BHAI VEER SINGH MARG,, GOLE MARKET, NEW DELHI",2017-02-13,2017-02-13,Monday,NEW DELHI,8165015170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170025,7,2017-02-13,MANDIR MARG,23:10,379/356/34,21:15,21:15,"1/1, Bhai Vir Singh Marg, Sector 4, Gole Market, New Delhi, Delhi 110001, India",28.631029100000006,77.2056498,Snatching-Theft,Snatching,21.0
1 IPC 1860,"SBI BANK, BANGLA SAHIB ROAD, NEW DELHI",2017-02-15,2017-02-15,Wednesday,NEW DELHI,8165015170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165015170026,4,2017-02-15,MANDIR MARG,22:30,420/34,12:25,12:25,"112, Bangla Sahib Rd, DIZ Staff Quarters, Gole Market, New Delhi, Delhi 110001, India",28.6329303,77.208702,cheating,cheating,12.0
1 IPC 1860,"TOLASTOY MARG NEAR JANPATH METRO STATION, CONNAUGHT PLACE NEW DELHI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165011170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165011170002,7,2017-05-01,CONNAUGHT PLACE,22:50,354/34,21:00,21:00,"Jantar Mantar Road, Janpath, Connaught Place, New Delhi, Delhi 110001, India",28.625061,77.219184,sexual harrasement,sexual harrasement,21.0
1 IPC 1860,"HALDIRAM, CONNAUGHT PLACE NEW DELHI",2017-01-07,2017-01-07,Saturday,NEW DELHI,8165011170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165011170003,5,2017-07-01,CONNAUGHT PLACE,15:30,379,14:10,14:10,"6-7, L-Block, Outer Circle, Connaught Place, New Delhi, Delhi 110001, India",28.6341852,77.222195,Theft,Theft,14.0
1 IPC 1860,"OUTER CIRCLE INFRONT OF H BLOCK, CONNAUGHT PLACE NEW DELHI",2017-01-08,2017-01-08,Sunday,NEW DELHI,8165011170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165011170004,1,2017-08-01,CONNAUGHT PLACE,03:45,356/379/411/34,00:30,00:30,"Plaza Building, Outer Circle H block, Connaught Place, New Delhi, Delhi 110001, India",28.6351492,77.2196553,Snatching-Theft,Snatching,0.0
1 IPC 1860,"N-22, OUTER CIRCLE, CONNAUGHT PLACE NEW DELHI",2017-01-08,2017-01-09,INTERVENING DAY,NEW DELHI,8165011170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165011170005,0,2017-09-01,CONNAUGHT PLACE,10:05,457/380,08:30,06:45,"22, Connaught Circus, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India",28.630976,77.21689,Theft-house-trespass,Theft,8.0
1 IPC 1860,SHIVAJI STADIUM TERMINAL,2017-01-11,2017-01-11,Wednesday,NEW DELHI,8165011170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165011170008,7,2017-11-01,CONNAUGHT PLACE,23:08,379,20:30,20:30,"Jain Mandir Marg, Shivaji Stadium, Connaught Place, New Delhi, Delhi 110001, India",28.633038,77.215071,Theft,Theft,20.0
1 IPC 1860,"OUTER CIRCLE OPPOSITE, REGAL CINEMA CON PLACE",2017-01-11,2017-01-11,Wednesday,NEW DELHI,8165011170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165011170009,6,2017-11-01,CONNAUGHT PLACE,23:09,356/379/34,18:30,18:30,"Connaught Circus, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India",28.6311598,77.21657370000001,Snatching-Theft,Snatching,18.0
1 IPC 1860,"HANUMAN ROAD CROSSING, CONNAUGHT PLACE NEW DELHI",2017-01-18,2017-01-18,Wednesday,NEW DELHI,8165011170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165011170011,5,2017-01-18,CONNAUGHT PLACE,18:45,279/337,15:20,15:20,"Hanuman Rd, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India",28.6286692,77.2137953,Rash driving-endangering safety of others,Rash driving,15.0
1 IPC 1860,"INFRONT OF HALDIRAM, L BLOCK CONNAUGHT PLACE ND",2017-01-20,2017-01-20,Friday,NEW DELHI,8165011170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165011170012,8,2017-01-20,CONNAUGHT PLACE,23:20,379,22:20,22:20,"6-7, L-Block, Outer Circle, Connaught Place, New Delhi, Delhi 110001, India",28.6341852,77.222195,Theft,Theft,22.0
1 IPC 1860,"HOTEL CONNAUGHT, 37, SHAHID BHAGAT SINGH MARG, CONNAUGHT PLACE NEW DELHI",2017-01-21,2017-01-21,Saturday,NEW DELHI,8165011170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165011170013,5,2017-01-21,CONNAUGHT PLACE,18:00,454/380/411/34,14:30,14:30,"G-59, Connaught Circus, Block G, Connaught Place, New Delhi, Delhi 110001, India",28.633938,77.2171434,Theft-house-trespass,Theft,14.0
