acts,address,datefrom,dateto,day,district,filename,link,pahar,psdate,pstation,pstime,section,timefrom,timeto,full_charge,group_charge,hour,Formatted_address,Lat,Long
1 IPC 1860,"JHUGGI, SANJAY CAMP, CHANAKYA PURI",2017-01-31,2017-01-31,Tuesday,NEW DELHI,8165007170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170015,6,2017-02-03,CHANKYA PURI,08:10,363,17:00,17:00,Kidnapping,Kidnapping,17.0,"Chanakyapuri, New Delhi, Delhi 110021, India",28.5866226,77.17809679999998
1 IPC 1860,CHANAKYA PURI,2017-02-02,2017-02-02,Thursday,NEW DELHI,8165007170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170016,4,2017-02-04,CHANKYA PURI,19:35,420,12:00,12:00,cheating,cheating,12.0,"Chanakyapuri, New Delhi, Delhi, India",28.5938532,77.18873640000002
1 IPC 1860,CHANAKYA PURI,2017-02-02,2017-02-02,Thursday,NEW DELHI,8165007170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170016,4,2017-02-04,CHANKYA PURI,19:35,420,12:00,12:00,cheating,cheating,12.0,"Chanakyapuri, New Delhi, Delhi, India",28.5938532,77.18873640000002
1 IPC 1860,"NITI MARG, CHANAKYA PURI, NEW DELHI",2017-02-05,2017-02-05,Sunday,NEW DELHI,8165007170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170017,,2017-02-05,CHANKYA PURI,06:10,279/304A,02:10,05:50,Negligence conduct-Rash driving,Rash driving,2.0,"Niti Marg, Chanakyapuri, New Delhi, Delhi 110021, India",28.5920212,77.19167949999998
1 IPC 1860,"NITI MARG, CHANAKYA PURI, NEW DELHI",2017-02-05,2017-02-05,Sunday,NEW DELHI,8165007170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170017,,2017-02-05,CHANKYA PURI,06:10,279/304A,02:10,05:50,Negligence conduct-Rash driving,Rash driving,2.0,"Niti Marg, Chanakyapuri, New Delhi, Delhi 110021, India",28.5920212,77.1916795
1 IPC 1860,"15, TEEN MURTI LANE, CHANAKYA PURI, NEW DELHI",2017-02-13,2017-02-13,Monday,NEW DELHI,8165007170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170018,,2017-02-13,CHANKYA PURI,16:35,420,08:30,16:30,cheating,cheating,8.0,"15, Teen Murti Haifa Marg, Rajaji Marg Area, Teen Murti Marg Area, New Delhi, Delhi 110011, India",28.6029636,77.2019143
1 IPC 1860,"15, TEEN MURTI LANE, CHANAKYA PURI, NEW DELHI",2017-02-13,2017-02-13,Monday,NEW DELHI,8165007170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170018,,2017-02-13,CHANKYA PURI,16:35,420,08:30,16:30,cheating,cheating,8.0,"Teen Murti Cir, Palika Vihar, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110011, India",28.6047019,77.198436
1 IPC 1860,"SAN MARTIN MARG NEAR ABHAY MARG, CHANAKYA PURI, NEW DELHI",2017-02-25,2017-02-25,Saturday,NEW DELHI,8165007170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170020,1,2017-02-25,CHANKYA PURI,19:45,279/304A,00:00,00:00,Negligence conduct-Rash driving,Rash driving,0.0,"Abai Marg, IB Colony, Chanakyapuri, New Delhi, Delhi 110021, India",28.5930728,77.17132450000003
1 IPC 1860,"SAN MARTIN MARG NEAR ABHAY MARG, CHANAKYA PURI, NEW DELHI",2017-02-25,2017-02-25,Saturday,NEW DELHI,8165007170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170020,1,2017-02-25,CHANKYA PURI,19:45,279/304A,00:00,00:00,Negligence conduct-Rash driving,Rash driving,0.0,"Abai Marg, Chanakyapuri, New Delhi, Delhi 110021, India",28.5930728,77.1713245
1 IPC 1860,"SPM NEAR SADHU SAMAJ BUS STAND, CHANAKYA PURI, NEW DELHI",2017-03-14,2017-03-14,Tuesday,NEW DELHI,8165007170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170024,,2017-03-14,CHANKYA PURI,10:05,279/337,00:00,09:45,Rash driving-endangering safety of others,Rash driving,0.0,"Sardar Patel Marg, Malcha, New Delhi, Delhi 110021, India",28.6038005,77.1839091
1 IPC 1860,"SPM NEAR SADHU SAMAJ BUS STAND, CHANAKYA PURI, NEW DELHI",2017-03-14,2017-03-14,Tuesday,NEW DELHI,8165007170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170024,,2017-03-14,CHANKYA PURI,10:05,279/337,00:00,09:45,Rash driving-endangering safety of others,Rash driving,0.0,"Sardar Patel Marg, Malcha, New Delhi, Delhi 110021, India",28.603800500000002,77.1839091
1 IPC 1860,"NEAR NALA 11 MURTI, CHANAKYA PURI, NEW DELHI",2017-03-18,2017-03-18,Saturday,NEW DELHI,8165007170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170025,2,2017-03-18,CHANKYA PURI,05:15,392/34,03:30,05:00,Robbery,Robbery,3.0,"Mother Teresa Cres, Willingdon Crescent, Malcha, New Delhi, Delhi 110011, India",28.6101074,77.1916048
1 IPC 1860,"NEAR NALA 11 MURTI, CHANAKYA PURI, NEW DELHI",2017-03-18,2017-03-18,Saturday,NEW DELHI,8165007170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170025,2,2017-03-18,CHANKYA PURI,05:15,392/34,03:30,05:00,Robbery,Robbery,3.0,"Mother Teresa Cres, Willingdon Crescent, Malcha, New Delhi, Delhi 110011, India",28.610107399999997,77.1916048
1 IPC 1860,"H.NO. 71, TEEN MURTI POLICE COUMPOUND, CHANAKYA PURI",2017-03-27,2017-03-27,Monday,NEW DELHI,8165007170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170026,6,2017-03-28,CHANKYA PURI,12:32,363,18:30,18:30,Kidnapping,Kidnapping,18.0,"Teen Murti Haifa Marg, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India",28.6031333,77.19597440000003
1 IPC 1860,"H.NO. 71, TEEN MURTI POLICE COUMPOUND, CHANAKYA PURI",2017-03-27,2017-03-27,Monday,NEW DELHI,8165007170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170026,6,2017-03-28,CHANKYA PURI,12:32,363,18:30,18:30,Kidnapping,Kidnapping,18.0,"Teen Murti Marg, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India",28.6031333,77.19597440000003
1 IPC 1860,"G-AVENUE, NEAR D 1-D 2 FLATS, CHANAKYA PURI, NEW DELHI",2017-03-29,2017-03-29,Wednesday,NEW DELHI,8165007170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170027,7,2017-03-29,CHANKYA PURI,23:15,379/356/34,21:40,21:45,Snatching-Theft,Snatching,21.0,"Chanakya Puri, D1 Flats, Block D 1, Chanakyapuri, New Delhi, Delhi 110021, India",28.5831804,77.19547039999998
1 IPC 1860,"G-AVENUE, NEAR D 1-D 2 FLATS, CHANAKYA PURI, NEW DELHI",2017-03-29,2017-03-29,Wednesday,NEW DELHI,8165007170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170027,7,2017-03-29,CHANKYA PURI,23:15,379/356/34,21:40,21:45,Snatching-Theft,Snatching,21.0,"29/32, 1st Main Rd, Andrews Ganj, New Delhi, Delhi 110049, India",28.566441499999996,77.2277843
1 IPC 1860,"IN FRONT OF US EMBASSY, CH PURI, NEW DELHI",2017-04-01,2017-04-01,Saturday,NEW DELHI,8165007170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170029,,2017-04-01,CHANKYA PURI,23:05,354(D)/509/34,17:00,23:00,Stalking-sexual harrasement,sexual harrasement,17.0,"Shantipath, Chanakyapuri, New Delhi, Delhi 110021, India",28.5975663,77.1880475
1 IPC 1860,"D-1/175, SATYA MARG, CHANAKYA PURI, NEW DELHI",2017-04-02,2017-04-02,Sunday,NEW DELHI,8165007170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170030,,2017-04-02,CHANKYA PURI,10:40,380/457,00:00,10:10,Theft-house-trespass,Theft,0.0,"1, Satya Marg, Chanakyapuri, New Delhi, Delhi 110021, India",28.5876679,77.18753000000002
1 IPC 1860,"D-1/175, SATYA MARG, CHANAKYA PURI, NEW DELHI",2017-04-02,2017-04-02,Sunday,NEW DELHI,8165007170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170030,,2017-04-02,CHANKYA PURI,10:40,380/457,00:00,10:10,Theft-house-trespass,Theft,0.0,"1, Satya Marg, Chanakyapuri, New Delhi, Delhi 110021, India",28.5876679,77.18753000000002
1 IPC 1860,"INFRONT OF ETHOPIA CULTURE CENTRE, CHANAKYA PURI, NEW DELHI",2017-04-02,2017-04-02,Sunday,NEW DELHI,8165007170031.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170031,8,2017-04-02,CHANKYA PURI,22:35,379/356/34,21:15,22:15,Snatching-Theft,Snatching,21.0,"7/50 G,Niti marg, Chanakya Puri, New Delhi, Delhi 110021, India",28.5880707,77.1891431
1 IPC 1860,"INFRONT OF ETHOPIA CULTURE CENTRE, CHANAKYA PURI, NEW DELHI",2017-04-02,2017-04-02,Sunday,NEW DELHI,8165007170031.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170031,8,2017-04-02,CHANKYA PURI,22:35,379/356/34,21:15,22:15,Snatching-Theft,Snatching,21.0,"7/50 G,Niti marg, Chanakya Puri, New Delhi, Delhi 110021, India",28.5880707,77.1891431
1 IPC 1860,"P.P. MARG, ON ROAD,, NEAR GOAL DAK KHANA,, NEW DELHI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165038170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170004,8,2017-01-05,NORTH AVENUE,23:40,356/379,22:30,22:30,Snatching-Theft,Snatching,22.0,"Gol Dak Khana Building, Near Gurudwara Bangla Sahib, New Delhi, Delhi 110001, India",28.6269416,77.20664769999998
1 IPC 1860,"P.P. MARG, ON ROAD,, NEAR GOAL DAK KHANA,, NEW DELHI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165038170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170004,8,2017-01-05,NORTH AVENUE,23:40,356/379,22:30,22:30,Snatching-Theft,Snatching,22.0,"Gol Dak Khana Roundabout, Near Gurudwara Bangla Sahib, New Delhi, Delhi 110001, India",28.626941600000002,77.2066477
1 IPC 1860,"38, GURUDWARA RAKAB GANJ ROAD, STAFF QUATER, NEW DELHI",2017-01-14,2017-01-14,Saturday,NEW DELHI,8165038170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170007,7,2017-01-14,NORTH AVENUE,21:15,363,20:00,20:00,Kidnapping,Kidnapping,20.0,"Gurudwara Rakabganj Road, New Delhi, Delhi 110001, India",28.620264,77.20571509999998
1 IPC 1860,"38, GURUDWARA RAKAB GANJ ROAD, STAFF QUATER, NEW DELHI",2017-01-14,2017-01-14,Saturday,NEW DELHI,8165038170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170007,7,2017-01-14,NORTH AVENUE,21:15,363,20:00,20:00,Kidnapping,Kidnapping,20.0,"Gurudwara Rakabganj Road, New Delhi, Delhi 110001, India",28.620264000000002,77.20571509999998
1 IPC 1860,"RML HOSPITAL, NEW DELHI",2017-01-15,2017-01-15,Sunday,NEW DELHI,8165038170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170008,2,2017-01-15,NORTH AVENUE,08:40,380,06:00,06:00,Theft,Theft,6.0,"Baba Kharak Singh Marg, Near Gurudwara Bangla Sahib, Connaught Place, New Delhi, Delhi 110001, India",28.625634,77.20292099999998
1 IPC 1860,"RML HOSPITAL, NEW DELHI",2017-01-15,2017-01-15,Sunday,NEW DELHI,8165038170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170008,2,2017-01-15,NORTH AVENUE,08:40,380,06:00,06:00,Theft,Theft,6.0,"Baba Kharak Singh Marg, Near Gurudwara Bangla Sahib, Connaught Place, New Delhi, Delhi 110001, India",28.625634,77.20292099999998
1 IPC 1860,"B.K.S MARG N.D.P.O., BUS STAND, NEW DELHI",2017-01-18,2017-01-18,Wednesday,NEW DELHI,8165038170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170010,4,2017-01-18,NORTH AVENUE,12:15,279/337,11:30,11:30,Rash driving-endangering safety of others,Rash driving,11.0,"Pandit Pant Marg, Baba Kharak Singh Marg Area, New Delhi, Delhi 110001, India",28.6254862,77.2064209
1 IPC 1860,"B.K.S MARG N.D.P.O., BUS STAND, NEW DELHI",2017-01-18,2017-01-18,Wednesday,NEW DELHI,8165038170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170010,4,2017-01-18,NORTH AVENUE,12:15,279/337,11:30,11:30,Rash driving-endangering safety of others,Rash driving,11.0,"Shiv Chowk, Kataria Market, New Mata Mandir Rd, Rajiv Nagar, Sector 13, Gurugram, Haryana 122001, India",28.475919,77.035321
1 IPC 1860,"14 PANDIT PANT MARG, NEW DELHI",2017-02-01,2017-02-01,Wednesday,NEW DELHI,8165038170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170013,5,2017-02-01,NORTH AVENUE,14:43,379,14:20,14:20,Theft,Theft,14.0,"14, Pandit Pant Marg, Baba Kharak Singh Marg Area, New Delhi, Delhi 110001, India",28.621275800000006,77.20628710000003
1 IPC 1860,"14 PANDIT PANT MARG, NEW DELHI",2017-02-01,2017-02-01,Wednesday,NEW DELHI,8165038170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170013,5,2017-02-01,NORTH AVENUE,14:43,379,14:20,14:20,Theft,Theft,14.0,"14, Pandit Pant Marg, Baba Kharak Singh Marg Area, New Delhi, Delhi 110001, India",28.62127580000001,77.2062871
1 IPC 1860,"ROOM NO. 15 GYNEE OPD, DR. RML HOSPITAL, NEW DELHI",2017-02-03,2017-02-03,Friday,NEW DELHI,8165038170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170014,,2017-02-04,NORTH AVENUE,13:25,380,14:00,16:30,Theft,Theft,14.0,"Baba Kharak Singh Marg, Near Gurudwara Bangla Sahib, Connaught Place, New Delhi, Delhi 110001, India",28.625634,77.20292099999998
1 IPC 1860,"ROOM NO. 15 GYNEE OPD, DR. RML HOSPITAL, NEW DELHI",2017-02-03,2017-02-03,Friday,NEW DELHI,8165038170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170014,,2017-02-04,NORTH AVENUE,13:25,380,14:00,16:30,Theft,Theft,14.0,"Baba Kharak Singh Marg, Near Gurudwara Bangla Sahib, Connaught Place, New Delhi, Delhi 110001, India",28.625634,77.20292099999998
1 IPC 1860,"IN FRONT OF 8 GURUDWARA RAKAB GANJ, ROAD DELHI, NEW DELHI",2017-02-04,2017-02-04,Saturday,NEW DELHI,8165038170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170015,7,2017-02-05,NORTH AVENUE,15:15,379,19:00,19:00,Theft,Theft,19.0,"Guru Gobind Singh Bhawan, Gurudwara Rakabganj Road, Gokul Nagar, Pandit Pant Marg Area, Central Secretariat, New Delhi, Delhi 110004, India",28.619794,77.20565900000003
1 IPC 1860,"IN FRONT OF 8 GURUDWARA RAKAB GANJ, ROAD DELHI, NEW DELHI",2017-02-04,2017-02-04,Saturday,NEW DELHI,8165038170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170015,7,2017-02-05,NORTH AVENUE,15:15,379,19:00,19:00,Theft,Theft,19.0,"Guru Gobind Singh Bhawan, Gurudwara Rakabganj Road, Gokul Nagar, Pandit Pant Marg Area, Central Secretariat, New Delhi, Delhi 110004, India",28.619794,77.205659
1 IPC 1860,"IIIRD FLOOR OPD, DR. RML HOSPITAL, NEW DELHI",2017-02-27,2017-02-27,Monday,NEW DELHI,8165038170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170020,4,2017-02-28,NORTH AVENUE,15:25,379,12:00,12:00,Theft,Theft,12.0,"Baba Kharak Singh Marg, Near Gurudwara Bangla Sahib, Connaught Place, New Delhi, Delhi 110001, India",28.625634,77.20292099999998
1 IPC 1860,"IIIRD FLOOR OPD, DR. RML HOSPITAL, NEW DELHI",2017-02-27,2017-02-27,Monday,NEW DELHI,8165038170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170020,4,2017-02-28,NORTH AVENUE,15:25,379,12:00,12:00,Theft,Theft,12.0,"Baba Kharak Singh Marg, Near Gurudwara Bangla Sahib, Connaught Place, New Delhi, Delhi 110001, India",28.625634,77.20292099999998
1 IPC 1860,"EMERGENCY WARD, DR. R.M.L HOSPITAL, N.D",2017-04-14,2017-04-14,Friday,NEW DELHI,8165038170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170029,3,2017-04-15,NORTH AVENUE,16:00,186/353/332,06:30,07:00,Disobedience to pub. Serv. Order-hurting public servant,Disobedience to pub. Serv. Order-hurting public servant,6.0,"2700 Hospital Dr, Northport, AL 35476, USA",33.2336943,-87.5710084
1 IPC 1860,"EMERGENCY WARD, DR. R.M.L HOSPITAL, N.D",2017-04-14,2017-04-14,Friday,NEW DELHI,8165038170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170029,3,2017-04-15,NORTH AVENUE,16:00,186/353/332,06:30,07:00,Disobedience to pub. Serv. Order-hurting public servant,Disobedience to pub. Serv. Order-hurting public servant,6.0,"Baba Kharak Singh Marg, Near Gurudwara Bangla Sahib, Connaught Place, New Delhi, Delhi 110001, India",28.625634,77.20292099999998
1 IPC 1860,"8, TALKATORA RD, NEW DELHI, SERVANT QUARTER",2017-04-20,2017-04-20,Thursday,NEW DELHI,8165038170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170030,2,2017-04-20,NORTH AVENUE,12:35,436/337,04:00,04:00,endangering safety of others-mischief by fire,Others,4.0,"North Ave, North Avenue Road Area, Raisina Hills, New Delhi, Delhi 110001, India",28.6190212,77.2007038
1 IPC 1860,"8, TALKATORA RD, NEW DELHI, SERVANT QUARTER",2017-04-20,2017-04-20,Thursday,NEW DELHI,8165038170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170030,2,2017-04-20,NORTH AVENUE,12:35,436/337,04:00,04:00,endangering safety of others-mischief by fire,Others,4.0,"North Ave, North Avenue Road Area, Raisina Hills, New Delhi, Delhi 110001, India",28.6190212,77.2007038
1 IPC 1860,KOLKATA TO NEW DELHI,2017-01-12,2017-01-12,Thursday,NEW DELHI,8165036170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170004,,2017-01-16,TUGHLAK ROAD,00:00,379,10:35,13:00,Theft,Theft,10.0,"Ground Floor, Block “E”, American Plaza, International Trade Tower, Nehru Place, New Delhi, Delhi 110019, India",28.5507964,77.2504572
1 IPC 1860,KOLKATA TO NEW DELHI,2017-01-12,2017-01-12,Thursday,NEW DELHI,8165036170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170004,,2017-01-16,TUGHLAK ROAD,00:00,379,10:35,13:00,Theft,Theft,10.0,"Ground Floor, Block “E”, American Plaza, International Trade Tower, Nehru Place, New Delhi, Delhi 110019, India",28.5507964,77.2504572
1 IPC 1860,"57, LODHI ESTATE, NEW DELHI",2017-01-18,2017-01-19,INTERVENING DAY,NEW DELHI,8165036170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170005,,2017-01-19,TUGHLAK ROAD,15:00,380/457,20:00,14:20,Theft-house-trespass,Theft,20.0,"57, Lodhi Estate, New Delhi, Delhi 110003, India",28.592674,77.223961
1 IPC 1860,"57, LODHI ESTATE, NEW DELHI",2017-01-18,2017-01-19,INTERVENING DAY,NEW DELHI,8165036170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170005,,2017-01-19,TUGHLAK ROAD,15:00,380/457,20:00,14:20,Theft-house-trespass,Theft,20.0,"57, Lodhi Estate, New Delhi, Delhi 110003, India",28.592674,77.223961
1 IPC 1860,"PR ROAD, AURANGZEB LANE CROSSING, NEW DELHI",2017-01-20,2017-01-20,Friday,NEW DELHI,8165036170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170006,7,2017-01-20,TUGHLAK ROAD,19:11,279,19:00,19:00,Rash driving,Rash driving,19.0,"H 15/7, Floor, 110017, 3rd Cross Rd, Block H 6, Malviya Nagar, New Delhi, Delhi 110023, India",28.531542,77.2100281
1 IPC 1860,"PR ROAD, AURANGZEB LANE CROSSING, NEW DELHI",2017-01-20,2017-01-20,Friday,NEW DELHI,8165036170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170006,7,2017-01-20,TUGHLAK ROAD,19:11,279,19:00,19:00,Rash driving,Rash driving,19.0,"Bhavan - Prithviraj Ln, New Lok Nagar, Sujan Sing Park North, Sujan Singh Park, New Delhi, Delhi 110003, India",28.601549,77.22556390000003
1 IPC 1860,"BASMENT PARTY HALL, INDIA ISLAMIC CENTRE, LODHI ROAD, NEW DELHI",2017-01-29,2017-01-29,Sunday,NEW DELHI,8165036170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170009,1,2017-01-29,TUGHLAK ROAD,01:40,380,01:00,01:20,Theft,Theft,1.0,"87-88, Lodhi Rd, Lodhi Gardens, Lodhi Estate, New Delhi, Delhi 110003, India",28.5908415,77.22195390000002
1 IPC 1860,"BASMENT PARTY HALL, INDIA ISLAMIC CENTRE, LODHI ROAD, NEW DELHI",2017-01-29,2017-01-29,Sunday,NEW DELHI,8165036170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165036170009,1,2017-01-29,TUGHLAK ROAD,01:40,380,01:00,01:20,Theft,Theft,1.0,"87-88, Lodhi Rd, Lodhi Gardens, Lodhi Estate, New Delhi, Delhi 110003, India",28.590841499999996,77.22195390000002
